"product_id","name","description"
"16","WELLAGE","Is produced by Hugel, the most famous hyaluronic acid pharmaceutical factory in Korea<br>Skin care products that cooperate with many plastic surgery hospitals<br>This is 100% without a drop of water added<br>After condensing hyaluronic acid, it becomes `highly concentrated hyaluronic acid capsule`<br>This is to keep the properties of hyaluronic acid at its best<br>Therefore, the frozen hyaluronic acid is made into highly concentrated capsules after removing the water through technology, which can increase the content of hyaluronic acid and increase the absorption.<br>It can also keep hyaluronic acid fresher and exert the characteristics of hyaluronic acid at a high multiple"
"17","3CE EYE SWITCH","Glitters of an unparalleled size take pride in magnificent shine. <br>The thin and supple elastomer tip is specially designed to deliver <br>every single glitter particle to your eye area for the best result. <br>Enriched with vitamin E and shea butter, this eyeshadow easily <br>washes off with water, leaving your eye area hydrated."
"18","DHC HELLO KITTY","Product Name: DHC Limited Edition Lipstick<br>Brand: DHC<br>Origin: Japan<br>Efficacy: lightens lip lines, moisturizes lips<br>Specification type: normal specification"
"19","MOON SHOT ","u{1F538} Moonshot Honey Coverlet Stick Extreme<br>u{1F538} Long lasting sleek matte lip express "
"20","SIERRO"," Siero is a cosmetics brand from South Korea, and the price is very affordable.<br>Although the price is cheap, its touch-up lip balm has a patented formula! Not only is it super moisturizing, it can also make your lips have a super beautiful watery feel, just like doing your lips slightly,<br>Perfect lips make people can’t help but want to kiss you! No matter if you are plain makeup or light makeup, one in hand will enhance your complexion and charming aura!"
"21","RENE CELL RETOC MASK","Rene-Cell Retox Mask | <br><br>` Nurturing moist and resilient skin without the concern for wrinkles `<br><br><br>Application method:<br>Whenever the skin becomes dry spray a generous amount evenly all over the face and get a finish by absorbing it, gently tapping.<br><br><br><br>Main Ingredients:<br><br>Hydrolyzed Collagen, Fructan, Palmitoyl Pentapeptide-4, Epigenomyl®, Poison Complex™, Kigeline, Piper Methysticum Root Extract , Baker’s yeast extract, Fullerene, Madecassoside, Acetyl Hexapeptide-8, Mediacalm, Rosamox, Stem-C-Guard®, Multi-pep-7, PTD™, Peptasome®"
"22","AROH CENTELLA COOLING MASK PACK","A refreshing, skin-cooling sheet mask that soothes and calms inflammation and redness.<br>Centella Asiatica Extract- A popular <br>calming ingredient, Centella Asiatica provides s<br>kin-healing properties to ensure the complexion is clear and even. <br>It also helps with moisture and skin barrier protection."
"23","RENE CELL  LIFTEN MASK","• Takes care of fundamental skin troubles by helping the improvement in the skin regeneration<br>• The peptide ingredients help lift the skin, making it appear firmer and more youthful.<br>• Bio Cellulose sheets are perfectly close to the skin, tightly packed into the skin<br>• Moist and elastic skin in 15 minutes a day<br>• Strong anti wrinkle effect that builds up skin collagen<br>• Maintain and protect skin with 5 anti oxidant plant extracts<br>• Glacier water ingredient soothes and moisturizes the skin that is sensitive to the external environment"
"24","PEPTIDE BUBBLE MASK","Smoothly enclose the face flexion with the even <br>adhesion of the Riossel sheet (*OEKO-TEX STANDARD 100)<br>to help ensure the essence is delivered evenly.<br>It contains Palmytoiltrypeptide-1 and Palmyto-Tetetrapeptide-7, <br>a patented French cosmetics material<br>company, Cedar Massa, to help your skin grow elastic and vibrant."
"25","RENUMEDI RADIANT MASK PACK","it gives tired skin a boost and it has a lot of nutritive <br>moisturizing content that fills the skin. Usually, <br>this one is use for anti-wrinkle and brightening making the skin <br>looks younger and fresher. Here are the potent ingredients of <br>this mask that I think I need to share so that we will know the effect of this product to our skin."
"26","YAKSON MASK","Ageing Defense - Can help reduce the physical signs of ageing, such as fine lines and wrinkles.<br>Super Simple - Easy to use with no mess and no fuss.<br>Proven & Tested - Gives the appearance of firmer skin, providing a visible lifting effect. It clinically tested for 6 amazing benefits - Helps eliminate double chin, lift the surface of skin over the lower jaw, lift the surface of skin, lift cheeks , lift smile lines, and  lift downturned corners of the mouth"
"27","AROH MANUKA HONEY SKIN GLOW MASK PACK","There's manuka honey in it<br>Honey's ames2020 he 'll be chosen for the latest launch in autumn and winter<br>Unique mask cut out<br>Better to wear skin<br>Plus camellia ingredients, more moisturizing moisturizing"
"28","RENE CELL CLENASING PERFECTER","RENE CELL FINE DUST CARE SYSTEM<br><br>DEEP CLEANSING WITH ANTIPOLLUCELL"
"29","ERTY SUNBLOCK","SPF 50<br>SUITABLE ALL SKIN"
"30","RENE CELL TRAVEL KIT","INCLUDE: PEPTIDE CREAM / RENEWAL CREAM/ SUNBLOCK / BB CREAM / TONER / <br>WASH POWDER/ HYALURONIC SERUM / VITAMIN C SERUM/ RECOVERY SERUM/<br>STEP 1&2 MASK"
"31","RENE CELL RECOVERY SERUM","<br>• Forms a non-greasy mild moisturizing coating<br>• Complete natural luster and strengthen skin walls<br>• Contains EPIGENOMYLⓇ ingredients to prevent skin damage"
"32","DR PEPTIDE SERUM 50ML","This is an all-in-one serum<br>It can lighten spots, remove wrinkles, whiten, tighten, increase elasticity, remove peptides and acne, repair acne marks, etc. No hormones, no fragrance<br><br>The popular functional serum (peptide anti-wrinkle firming serum) can solve all kinds of skin problems such as wrinkles, elasticity, whitening, pores, stains, etc. without injections"
"33","AHC ALOE VERA TONER 500ML"," High-capacity toner that helps dry and sooth skin.<br> Contains moisturizing ingredients to form a skin moisture barrier."
"34","RENE CELL TONER","Toner formulated with peptide complex to improve the skin<br><br>Absorbs deep into the dry skin refreshingly without stickiness for hydration and balanced skin care<br><br>Contains natural extracts to reinforce skin soothing and hydration effects<br>Fast and immediate skin balance care"
"35","LABIOTTE","Essential Type Water Contains Hydrolyzed Collagen Extract Enriched <br>with Essential Toner for moisturizing <br>and shiny skin from the first step to smooth skin's dew condensation"
"36","DISIQI 30ML","Tighteh the skin<br>Anti-dullness<br>Anti-acne<br>Expelling of Toxins<br>Spot-fading"
"37","AHC LEMON TONER 500ML","Remove Sebum Effect.<br>Rich in citric acid and vitamin C, maintaining moisturizing power of the skin<br>Lemon water moisturizes skin texture.<br>Water type texture<br>Clean the remaining skin wastes and skin irritants after washing."
"38","8 CELL STEMCELL ESSENCE MIST","u{1D7D6}u{1D402}u{1D41E}u{1D425}u{1D425} Stem Cell Plant Essence Firming Anti-aging Spray<br> In two weeks, 100% helps the skin repair sleeping cells from the deep layer, and improves loose skin from the inside out. Give you a firm face in two weeks.<br><br><br><br> -Using u{1F1E8}u{1F1ED}Swiss Apple Stem Cell➕Hexapeptide-8 peptide essence<br><br> -Can be used by pregnant womenu{1F930}u{1F3FC}<br><br> effect:<br> -Tightening lifting (two weeks to help you repair the lifting and tightening) is not temporary<br> -Smooth fine lines and wrinkles<br> -Refine pores<br> -Oil control<br> -Whitening/Brightening<br> -Lighten pigments and acne marks<br> -Deep hydrationu{1F4A6}<br> -Reduce dark circles and eliminate eye bags<br><br> <br> ✅u{1F1F0}u{1F1F7} Korean patented technical ingredients<br> ✅Healthy and safe, no side effects<br> ✅KKM Ministry of Health registration<br><br> #8cell<br><br>The first batch of Singapore and Malaysia recruitment agents"
"39","BAG 腰包","COLOUR : BLACK"
"40","回扣包","颜色：黑、绿"
"41","菜篮包","颜色：黑"
"42","圆形包","颜色：黑、黄、红"
"43","琳迪包","颜色：黑"
"44","牛皮半圆马鞍包","颜色：黑"
"45","香奈儿薯条包","颜色：黑"
"46","茖绫链条包","颜色：奶茶兴，奶昔白，绿，砖红"
"47","TOTE手提单肩包","颜色：亚麻蓝，土黄，大红，黑"
"48","鲶鱼包","颜色：深灰"
"49","牛皮荔枝纹铂金包","颜色：黑，卡其，酒红"
"50","3T  蕾丝款","颜色：红 、蓝、棕、米、黑、灰<br>SIZE : S / M / L / XL<br>"
"51","3T 可调马卡龙","颜色：黑、咖、粉、蓝、米<br>SIZE : S / M / L / XL<br>"
"52","3T JELLY","颜色：米、黑、绿、咖<br>SIZE : M / L / XL / XXL<br>"
"53","3T AVACADO","颜色：灰、咖、黑、米、红、绿<br>SIZE : S / M / L / XL<br>"
"54","3T 扣排","颜色：黑、红、咖。粉、米<br>SIZE : S / M / L / XL / XXL<br>"
"55","3T 第一代","颜色：黑、米、浅蓝、深蓝、浅粉、深粉，军绿、橙<br>SIZE : S / M / L / XL <br>"
"56","VUU","颜色：黑 、 米、粉<br><br>可调 、 无调<br><br><br>SIZE ：M / L / XL / XXL<br><br><br>"
"57","ZSUSUFIE","COLOUR: 黑、米、灰、白<br><br>SIZEl :  XL / XXL"
"58","MIYO PLAIN","颜色：黑、粉，灰、红<br>SIZE : 70A-75C / 80A-85C / 90B-90C"
"59","MIYO LACE","颜色：黑、紫、咖、粉<br>SIZE : 70A-75C / 80A-85C / 90B-90C"
"60","MIYO DIAMENT","颜色：黑、咖、粉<br>SIZE : 70A-75C / 80A-85C / 90B-90C"
"61","MIYO 铜离子","颜色：深蓝、米白。藕粉<br>SIZE : 70A-75C / 80A-85C / 90B-90C"
"62","JEWEL围巾","This scarf if you haven't bought it, you really want it The material is soft and very warm<br>Dr. jewel plaid scarf<br>It's definitely a good commodity<br>Long 190cm wide 66cm"
"63","KEEXUENNL 全能衣","<br>SOS all-round clothing strictly selects ecological cotton textile, skin-friendly and soft without hooking, natural and smooth, warm, breathable, light, durable and healthy.<br>The exclusive seamless process combines the staple fiber and the filament, with the super-cashmere skin-friendly feeling of the filament, not easy to pilling, and the focus is also antistatic."
"64","MIIOW UNDERWEAR","This Miiow cat-man ladies lace-trimmed panties 3 packs are made of <br>95% cotton and 5% spandex. The fabric is comfortable and soft, breathable <br>and hygroscopic and healthier. The elastic trousers are not tight when worn.<br>Cotton bottom crotch, refreshing and breathable. Lace embellishment, sexy and cute."
"65","SINMIRE","SIZE: M <br><br>COLOUR : PINK"
"66","JUST CC","SIZE : S<br><br>COLOUR : BLACK<br><br>长度 ：三分、五分、九分"
"67","DAERA BB CREAM"," Shine all day long without becoming dull<br>Acne, acne marks, spots, dark circles, thick pores, natural cover, invisible<br>The hydration level is crazy and won't dry up<br>Water and white<br>No makeup needed<br>Light and cool"
"68","DIDINIKA PAN FRY SPOON","COLOUR : RED"
"69","ZERO SENSE","颜色：黑、米、绿灰<br><br>SIZE: M / L / XL / XXL"
"70","GEO AMPOULE","the skin gets firming nutrition, bid farewell to fine lines, <br>sagging troubles, and restore firmness and elasticity to the skin <br>Tender youthful skin ~ The strongest barrier of the Mystery of New <br>Zealand New Zealand bee venom extract is the main antioxidant, anti-aging and firming effect"
"71","TT MARY  瘦身贴","Korean spa gel slimming patch uses patented food-grade TPE gel, <br>which has been proven by the Korean Dermatology Association to be <br>safe for the skin! It adheres firmly to the skin and can be <br>easily peeled off without leaving any stickiness on the skin`"
"72","SHU SHI无痕内裤","COLOUR : 黑 、 米、粉、灰<br>SIZE : S / M / L / XL"
"73","DIKIKI美甲贴","<br>`Vitality Girl Nail Sticker` UK DIKIKI nail strips can be detachable without hurting the nails, plant phototherapy, fashionable new products for pregnant women"
"74","SALUA 帽子套","`Function: Anti-droplet/anti-virus/anti-oil/water-splash features<br>1: Size adjustable feature<br>2: All kinds of hat features<br>3: Suitable for all ages<br>4: Removable cleaning and recycling features<br>5: Super soft fabric characteristics`"
"75","3层儿童口罩","Five doctors children's three-dimensional protective masks 5 pieces/bag <br>Non-woven meltblown cloth breathable special dust-proof <br>germs and haze non-disposable 6-12 years old 5 bags total 25"
"76","除菌卡","`It can kill bacteria by wearing it directly<br><br>The principle of this antibacterial disease prevention card is that it contains dioxychlorine which can effectively purify the air around one square meter of the body. The whole family can wear it together. Used together with masks, not only can prevent the invasion of germs, but also remove the surrounding germ<br><br>Double protection`"
"77","黑糖杏仁果","<br>Really super delicious almond fruit, brown sugar, milk taste, like milk tea➕ pearls, must try it  really seems to be biting brown sugar pearls "
"78","ROV KIDS CAP","This sunscreen cap uses international patented materials, uses high-tech nanotechnology, and special anti-ultraviolet coatings. A thin layer has the anti-ultraviolet SPF100+ sunscreen effect, and uses optical technology to convert the harmful ultraviolet rays Specific wavelength of light energy, and this energy is transferred to the skin, blocking 99% of ultraviolet rays and filtering out beneficial light at the same time, truly achieving whiter and whiter as it gets exposed to sunlight. It is the perfect combination of medicine and optical beauty, which is equivalent to SPA for the skin, and the effect is close to phototherapy."
"79","RENE CELL钻石疗程","`❶ Jing: Clean skin, healthy complexion and strong antioxidant capacity after detoxification.<br>❷Transparent: Make facial skin moist and soft, moist and clear. ❸Bright: Brighten the complexion from the inside to the outside, the skin is bright and translucent.<br>❹Fine: Tighten pores and make the skin more delicate<br>❺ Tenderness: remove fine wrinkles on the face and make the skin smoother. ❻Tightness: It can stimulate the skin to produce new collagen.<br>❼Moisturize: After the skin channel is opened, the dermis doubles to absorb moisture and nutrients, and the skin is moisturized."
"80","KEEXUENNL S3闪电裤","颜色：闪电黑，蔷薇粉，烟熏紫，牛油果绿，深海蓝，天空蓝"
"81","DR PEPTIDE TONER","DR PEPTI Centella Toner is a functional cosmetic for anti-wrinkle and brightening. It will provide you with the lively and youthful skin.<br>Moist-24, a patented ingredient of French cosmetic corporation Sederma, is contained in the toner. It improves the mineral balance and helps your skin to be moisturized for 24 hours.<br>63% of Centella Asiatica Extract from Madagascar, a UNESCO designated clean area, has abundant active ingredients and helps your skin to breathe with ease.<br>Palmitoyl Tripeptide-5 and Palmitoyl Pentapeptide-4 provides you with ample moisture."
